0,Name,Data Types,Default Task,Attribute Types,# Instances,# Attributes,Year
331,UJIIndoorLoc-Mag,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering","Integer, Real",40000,13,2015
332,Heterogeneity Activity Recognition,"Multivariate, Time-Series","Classification, Clustering",Real,43930257,16,2015
333,Educational Process Mining (EPM): A Learning Analytics Data Set,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,230318,13,2015
334,HEPMASS,Multivariate,Classification,Real,10500000,28,2016
335,Indoor User Movement Prediction from RSS data,"Multivariate, Sequential, Time-Series",Classification,Real,13197,4,2016
336,Open University Learning Analytics dataset,"Multivariate, Sequential, Time-Series","Classification, Regression, Clustering",Integer,,,2015
337,default of credit card clients,Multivariate,Classification,"Integer, Real",30000,24,2016
338,Mesotheliomaâs disease data set,Multivariate,Classification,Real,324,34,2016
339,Online Retail,"Multivariate, Sequential, Time-Series","Classification, Clustering","Integer, Real",541909,8,2015
340,SIFT10M,Multivariate,Causal-Discovery,Integer,11164866,128,2016
341,GPS Trajectories,Multivariate,"Classification, Regression",Real,163,15,2016
342,Detect Malacious Executable(AntiVirus),Multivariate,Classification,Real,373,513,2016
343,Occupancy Detection,"Multivariate, Time-Series",Classification,Real,20560,7,2016
344,Improved Spiral Test Using Digitized Graphics Tablet for Monitoring Parkinsonâs Disease,Multivariate,"Classification, Regression, Clustering",Real,40,7,2016
345,News Aggregator,Multivariate,"Classification, Clustering",,422937,5,2016
346,Air Quality,"Multivariate, Time-Series",Regression,Real,9358,15,2016
347,Twin gas sensor arrays,"Multivariate, Time-Series, Domain-Theory","Classification, Regression",Real,640,480000,2016
348,Gas sensors for home activity monitoring,"Multivariate, Time-Series",Classification,Real,919438,11,2016
349,Facebook Comment Volume Dataset,Multivariate,Regression,"Integer, Real",40949,54,2016
350,Smartphone Dataset for Human Activity Recognition (HAR) in Ambient Assisted Living (AAL),Time-Series,Classification,Real,5744,561,2016
351,Polish companies bankruptcy data,Multivariate,Classification,Real,10503,64,2016
352,Activity Recognition system based on Multisensor data fusion (AReM),"Multivariate, Sequential, Time-Series",Classification,Real,42240,6,2016
353,Dota2 Games Results,Multivariate,Classification,,102944,116,2016
354,Facebook metrics,Multivariate,Regression,Integer,500,19,2016
355,UbiqLog (smartphone lifelogging),Multivariate,Causal-Discovery,,9782222,,2016
